"","datetime","do.obs","wtr","year","yday","hour","par","baro"
"813",2021-06-03 03:00:00,8.398,9.41083333333333,2021,154,4,84,79494.188
"814",2021-06-03 04:00:00,8.47908333333333,9.01766666666667,2021,154,5,34,79547.66
"815",2021-06-03 05:00:00,8.55641666666667,8.65916666666667,2021,154,6,1,79585.094
"816",2021-06-03 06:00:00,8.644,8.34708333333333,2021,154,7,0,79609.155
"817",2021-06-03 07:00:00,8.76283333333333,8.15741666666667,2021,154,8,0,79601.134
"818",2021-06-03 08:00:00,8.83508333333333,8.17875,2021,154,9,0,79579.746
"819",2021-06-03 09:00:00,8.80433333333333,8.731,2021,154,10,0,79569.05
"820",2021-06-03 10:00:00,8.63383333333333,9.89516666666667,2021,154,11,0,79574.398
"821",2021-06-03 11:00:00,8.39425,11.4138333333333,2021,154,12,0,79569.05
"822",2021-06-03 12:00:00,8.13675,13.089,2021,154,13,0,79569.05
"823",2021-06-03 13:00:00,7.84775,14.6060833333333,2021,154,14,0,79590.44
"824",2021-06-03 14:00:00,7.58925,15.8100833333333,2021,154,15,49,79617.174
"825",2021-06-03 15:00:00,7.402,16.6000833333333,2021,154,16,215,79590.442
"826",2021-06-03 16:00:00,7.28383333333333,16.9825833333333,2021,154,17,403,79574.398
"827",2021-06-03 17:00:00,7.19325,17.0865,2021,154,18,587,79548.995
"828",2021-06-03 18:00:00,7.18033333333333,16.81375,2021,154,19,747,79520.926
"829",2021-06-03 19:00:00,7.23341666666667,16.2218333333333,2021,154,20,869,79499.536
"830",2021-06-03 20:00:00,7.33641666666667,15.2550833333333,2021,154,21,942,79478.144
"831",2021-06-03 21:00:00,7.49908333333333,14.0748333333333,2021,154,22,959,79408.63
"832",2021-06-03 22:00:00,7.7,12.9229166666667,2021,154,23,926,79376.544
"833",2021-06-03 23:00:00,7.8885,11.9324166666667,2021,154,24,842,79381.89
"834",2021-06-04 00:00:00,8.04941666666667,11.1258333333333,2021,155,1,717,79397.934
"835",2021-06-04 01:00:00,8.17541666666667,10.5150833333333,2021,155,2,366,79408.63
"836",2021-06-04 02:00:00,8.27691666666667,10.00675,2021,155,3,34,79413.978
"837",2021-06-04 03:00:00,8.36625,9.57733333333333,2021,155,4,57,79435.3675
"838",2021-06-04 04:00:00,8.44725,9.19075,2021,155,5,18,79467.448
"839",2021-06-04 05:00:00,8.52566666666667,8.82775,2021,155,6,0,79520.924
"840",2021-06-04 06:00:00,8.60875,8.51425,2021,155,7,0,79569.05
"841",2021-06-04 07:00:00,8.73291666666667,8.31508333333333,2021,155,8,0,79563.702
"842",2021-06-04 08:00:00,8.81316666666667,8.33616666666667,2021,155,9,0,79579.746
"843",2021-06-04 09:00:00,8.77091666666667,8.91716666666667,2021,155,10,0,79601.136
"844",2021-06-04 10:00:00,8.61983333333333,10.1576666666667,2021,155,11,0,79617.174
"845",2021-06-04 11:00:00,8.36933333333333,11.6976666666667,2021,155,12,0,79611.828
"846",2021-06-04 12:00:00,8.10558333333333,13.3995833333333,2021,155,13,0,79622.52
"847",2021-06-04 13:00:00,7.81058333333333,14.9499166666667,2021,155,14,0,79622.52
"848",2021-06-04 14:00:00,7.559,16.125,2021,155,15,52,79649.26
"849",2021-06-04 15:00:00,7.37008333333333,16.8985,2021,155,16,228,79670.652
"850",2021-06-04 16:00:00,7.24025,17.2070833333333,2021,155,17,426,79654.608
"851",2021-06-04 17:00:00,7.171,17.1921666666667,2021,155,18,617,79633.216
"852",2021-06-04 18:00:00,7.17141666666667,16.84625,2021,155,19,775,79633.216
"853",2021-06-04 19:00:00,7.2185,16.2365,2021,155,20,893,79627.868
"854",2021-06-04 20:00:00,7.31191666666667,15.3315833333333,2021,155,21,961,79601.134
"855",2021-06-04 21:00:00,7.46758333333333,14.2229166666667,2021,155,22,976,79542.314
"856",2021-06-04 22:00:00,7.654,13.1276666666667,2021,155,23,944,79499.536
"857",2021-06-04 23:00:00,7.83858333333333,12.1471666666667,2021,155,24,861,79483.492
"858",2021-06-05 00:00:00,8.00483333333333,11.2860833333333,2021,156,1,734,79488.84
"859",2021-06-05 01:00:00,8.14133333333333,10.5956666666667,2021,156,2,376,79515.578
"860",2021-06-05 02:00:00,8.25341666666667,10.0433333333333,2021,156,3,30,79553.006
"861",2021-06-05 03:00:00,8.35208333333333,9.56283333333333,2021,156,4,41,79569.05
"862",2021-06-05 04:00:00,8.44233333333333,9.14891666666667,2021,156,5,10,79589.1025
"863",2021-06-05 05:00:00,8.52425,8.76641666666667,2021,156,6,0,79629.205
